channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
투데이플로우,111000,2025-09-25,7694,,https://www.youtube.com/channel/UCVtIQQpBxWi_e5cPPmyKYYQ,UCVtIQQpBxWi_e5cPPmyKYYQ
Natty GameDev,16600,2025-05-04,1278,AU,https://www.youtube.com/channel/UCEKYw_cqmqvORpRskEYAI_g,UCEKYw_cqmqvORpRskEYAI_g
Blend Tweaks,37500,2025-11-16,76,TR,https://www.youtube.com/channel/UClUPGsvdpwjgNaRgCPLseSQ,UClUPGsvdpwjgNaRgCPLseSQ
School of Visual Arts,80100,2025-11-14,495,US,https://www.youtube.com/channel/UCGtHt3t1jN0-NlqCg0ymnug,UCGtHt3t1jN0-NlqCg0ymnug
markiedoesmath,159000,2025-10-30,177,,https://www.youtube.com/channel/UCZhsAU2BvmRe11K2N2_CENg,UCZhsAU2BvmRe11K2N2_CENg
율아,157000,2025-09-09,1102030,KR,https://www.youtube.com/channel/UCYfW9eEFoyTPiYnKrGYeWtg,UCYfW9eEFoyTPiYnKrGYeWtg
Film Riot,2230000,2025-11-05,15982,US,https://www.youtube.com/channel/UC6P24bhhCmMPOcujA9PKPTA,UC6P24bhhCmMPOcujA9PKPTA
CAD CAM LEARNER,12700,2022-10-07,4941,IN,https://www.youtube.com/channel/UClVSNziPCUG20zCuVxyyfTw,UClVSNziPCUG20zCuVxyyfTw
Jackie Droujko,822000,2025-11-03,42733,CA,https://www.youtube.com/channel/UCArWfFqEhLkSAT5uYZJixvA,UCArWfFqEhLkSAT5uYZJixvA
HieuBui VFX,5370,2025-10-06,56,VN,https://www.youtube.com/channel/UCu0TKnWmpLkXQ3WBGO37txA,UCu0TKnWmpLkXQ3WBGO37txA
VeVo Art,12900,2025-10-29,229,IN,https://www.youtube.com/channel/UCKBiMBNkhKVsH-8PlpO70vQ,UCKBiMBNkhKVsH-8PlpO70vQ
sagalanichol,181000,2025-11-16,225,ID,https://www.youtube.com/channel/UCgxy4cTVtuPou-V6_rzaKsA,UCgxy4cTVtuPou-V6_rzaKsA
BlackTailz,15300,2025-09-02,0,KR,https://www.youtube.com/channel/UClmGWC_nFJIp5IynAUe4VFg,UClmGWC_nFJIp5IynAUe4VFg
조달기 겜 그래픽채널,11600,2025-11-17,44,KR,https://www.youtube.com/channel/UCxFhyjIZZsctM9iesmR3j3w,UCxFhyjIZZsctM9iesmR3j3w
세상맛보기,37800,2025-11-16,20241,,https://www.youtube.com/channel/UCE4siMQ0efy_u8bn_ESY2Eg,UCE4siMQ0efy_u8bn_ESY2Eg
Sylvain - Les Créateurs 3D,42600,2025-10-31,4165,FR,https://www.youtube.com/channel/UC8BM2xQlXcK4Vt3OqfOmj9g,UC8BM2xQlXcK4Vt3OqfOmj9g
Massive Attack - Topic,12800,,,,https://www.youtube.com/channel/UCr1uxon7aFztw_dnrau0TDA,UCr1uxon7aFztw_dnrau0TDA
아이지에이웍스 마케팅클라우드,12100,2025-11-04,257,KR,https://www.youtube.com/channel/UCHIP6tykRuMa4argQ_XPpwQ,UCHIP6tykRuMa4argQ_XPpwQ
신기박사,322000,2025-05-09,28806,,https://www.youtube.com/channel/UCN-j5KoBHNA2MCyfWTsd-oA,UCN-j5KoBHNA2MCyfWTsd-oA
WhyKev,8840,,,SE,https://www.youtube.com/channel/UC6QMreTqyIY43-sWx1_lhFA,UC6QMreTqyIY43-sWx1_lhFA
코딩애플,408000,2025-11-12,176919,KR,https://www.youtube.com/channel/UCSLrpBAzr-ROVGHQ5EmxnUg,UCSLrpBAzr-ROVGHQ5EmxnUg
5 Minutes Blender,64800,2025-10-22,778,IN,https://www.youtube.com/channel/UCUc4aoeo9CimGhAioMUIT5w,UCUc4aoeo9CimGhAioMUIT5w
서울과학기술대학교,19200,2025-11-14,1119,KR,https://www.youtube.com/channel/UCCKn_W_0PBvnvzsasP14nYw,UCCKn_W_0PBvnvzsasP14nYw
Dzine,19100,2025-11-13,1169,US,https://www.youtube.com/channel/UCd_x049zNcsZVMxetAn9PPg,UCd_x049zNcsZVMxetAn9PPg
원너겟의 게임 인문학,19600,2024-01-01,8507,KR,https://www.youtube.com/channel/UC9OFfFPVQkmaOl3ULpwMPEw,UC9OFfFPVQkmaOl3ULpwMPEw
서울대학교AI연구원,11800,2025-10-22,552,KR,https://www.youtube.com/channel/UCrBnlsMvvKlRgUESkV_CwXA,UCrBnlsMvvKlRgUESkV_CwXA
수무디 Su-moo.d,7450,2023-12-22,2650,,https://www.youtube.com/channel/UC4kX9wO9eEXRHGqhLlbry4Q,UC4kX9wO9eEXRHGqhLlbry4Q
VECTARY,17700,2025-09-24,382,US,https://www.youtube.com/channel/UCWlSzBxtvo-n_lioLU89BlQ,UCWlSzBxtvo-n_lioLU89BlQ
Fireship,4050000,2025-11-14,455195,US,https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,UCsBjURrPoezykLs9EqgamOA
Sayar Chit 2D3D,214000,2025-11-16,20256,TH,https://www.youtube.com/channel/UCKm6QMkBagi1LFpWQ06YthQ,UCKm6QMkBagi1LFpWQ06YthQ
BeechBoyz TV,78700,2025-11-16,776,US,https://www.youtube.com/channel/UCQP5Q9wlX1cqVT8NMkYL51w,UCQP5Q9wlX1cqVT8NMkYL51w
Skyline,10400,,,US,https://www.youtube.com/channel/UCagWY0xcc1KEIRwFVUhKLiQ,UCagWY0xcc1KEIRwFVUhKLiQ
Live Home 3D,15500,2025-11-07,305,US,https://www.youtube.com/channel/UC6XJzetihtuXVMqw3YlmcFA,UC6XJzetihtuXVMqw3YlmcFA
CRNT DESIGNERS,30000,2025-11-16,408,IN,https://www.youtube.com/channel/UCC2eUQU7_ArzoojrMfibdyg,UCC2eUQU7_ArzoojrMfibdyg
애니메이터 금손 Animator Goldhand,6480,2024-10-15,1292,KR,https://www.youtube.com/channel/UC1Ui_kt6aZRn6HF3U02YfTg,UC1Ui_kt6aZRn6HF3U02YfTg
3DGreenhorn,167000,2025-05-07,7488,US,https://www.youtube.com/channel/UCu0NnMWYiqPe5ffnGxwpnCg,UCu0NnMWYiqPe5ffnGxwpnCg
BANDI TV,48100,2025-10-14,542,KR,https://www.youtube.com/channel/UCV3i6JKdRYQT0UOkl3ee8ag,UCV3i6JKdRYQT0UOkl3ee8ag
Bilawal Sidhu,26900,2025-11-15,8313,US,https://www.youtube.com/channel/UC7bGK0A1weWfNaRfO0hGVdg,UC7bGK0A1weWfNaRfO0hGVdg
